province,metric,value,unit
Fujian,E02_07_Urban_Population_Proportion,71.8,percent
Gansu,E02_07_Urban_Population_Proportion,56.83,percent
Guangdong,E02_07_Urban_Population_Proportion,75.91,percent
Guangxi,E02_07_Urban_Population_Proportion,57.39,percent
Guizhou,E02_07_Urban_Population_Proportion,56.65,percent
Hainan,E02_07_Urban_Population_Proportion,63.08,percent
Hebei,E02_07_Urban_Population_Proportion,63.42,percent
Heilongjiang,E02_07_Urban_Population_Proportion,68.05,percent
Henan,E02_07_Urban_Population_Proportion,59.22,percent
Hubei,E02_07_Urban_Population_Proportion,66.35,percent
Hunan,E02_07_Urban_Population_Proportion,62.07,percent
Inner Mongolia,E02_07_Urban_Population_Proportion,70.73,percent
Jiangsu,E02_07_Urban_Population_Proportion,75.53,percent
Jiangxi,E02_07_Urban_Population_Proportion,63.77,percent
Jilin,E02_07_Urban_Population_Proportion,65.78,percent
Liaoning,E02_07_Urban_Population_Proportion,74.18,percent
Ningxia,E02_07_Urban_Population_Proportion,68.22,percent
Qinghai,E02_07_Urban_Population_Proportion,63.86,percent
Shaanxi,E02_07_Urban_Population_Proportion,66.14,percent
Shandong,E02_07_Urban_Population_Proportion,66.48,percent
Shanghai,E02_07_Urban_Population_Proportion,89.85,percent
Shanxi,E02_07_Urban_Population_Proportion,66.32,percent
Sichuan,E02_07_Urban_Population_Proportion,60.1,percent
Tianjin,E02_07_Urban_Population_Proportion,86.01,percent
Tibet,E02_07_Urban_Population_Proportion,39.68,percent
Xinjiang,E02_07_Urban_Population_Proportion,60.36,percent
Yunnan,E02_07_Urban_Population_Proportion,54.11,percent
Zhejiang,E02_07_Urban_Population_Proportion,75.46,percent
Anhui,E03_09_Gross_Regional_Product,50625.2,100_million_yuan
Beijing,E03_09_Gross_Regional_Product,49843.1,100_million_yuan
Chongqing,E03_09_Gross_Regional_Product,32193.2,100_million_yuan
Fujian,E03_09_Gross_Regional_Product,57761,100_million_yuan
Gansu,E03_09_Gross_Regional_Product,13002.9,100_million_yuan
Guangdong,E03_09_Gross_Regional_Product,141633.8,100_million_yuan
Guangxi,E03_09_Gross_Regional_Product,28649.4,100_million_yuan
Guizhou,E03_09_Gross_Regional_Product,22667.1,100_million_yuan
Hainan,E03_09_Gross_Regional_Product,7935.7,100_million_yuan
Hebei,E03_09_Gross_Regional_Product,47526.9,100_million_yuan
Heilongjiang,E03_09_Gross_Regional_Product,16476.9,100_million_yuan
Henan,E03_09_Gross_Regional_Product,63590,100_million_yuan
Hubei,E03_09_Gross_Regional_Product,60013,100_million_yuan
Hunan,E03_09_Gross_Regional_Product,53231,100_million_yuan
Inner Mongolia,E03_09_Gross_Regional_Product,26314.6,100_million_yuan
Jiangsu,E03_09_Gross_Regional_Product,137008,100_million_yuan
Jiangxi,E03_09_Gross_Regional_Product,34202.5,100_million_yuan
Jilin,E03_09_Gross_Regional_Product,14361.2,100_million_yuan
Liaoning,E03_09_Gross_Regional_Product,32612.7,100_million_yuan
Ningxia,E03_09_Gross_Regional_Product,5502.8,100_million_yuan
Qinghai,E03_09_Gross_Regional_Product,3950.8,100_million_yuan
Shaanxi,E03_09_Gross_Regional_Product,35538.8,100_million_yuan
Shandong,E03_09_Gross_Regional_Product,98565.8,100_million_yuan
Shanghai,E03_09_Gross_Regional_Product,53926.7,100_million_yuan
Shanxi,E03_09_Gross_Regional_Product,25494.7,100_million_yuan
Sichuan,E03_09_Gross_Regional_Product,64697,100_million_yuan
Tianjin,E03_09_Gross_Regional_Product,18024.3,100_million_yuan
Tibet,E03_09_Gross_Regional_Product,2764.9,100_million_yuan
Xinjiang,E03_09_Gross_Regional_Product,20534.1,100_million_yuan
Yunnan,E03_09_Gross_Regional_Product,31534.1,100_million_yuan
Zhejiang,E03_09_Gross_Regional_Product,90130.6,100_million_yuan
Anhui,E03_09_Per_Capita_Gross_Regional_Product,82694,yuan
Beijing,E03_09_Per_Capita_Gross_Regional_Product,228167,yuan
Chongqing,E03_09_Per_Capita_Gross_Regional_Product,100903,yuan
Fujian,E03_09_Per_Capita_Gross_Regional_Product,137920,yuan
Gansu,E03_09_Per_Capita_Gross_Regional_Product,52825,yuan
Guangdong,E03_09_Per_Capita_Gross_Regional_Product,111146,yuan
Guangxi,E03_09_Per_Capita_Gross_Regional_Product,57071,yuan
Guizhou,E03_09_Per_Capita_Gross_Regional_Product,58685,yuan
Hainan,E03_09_Per_Capita_Gross_Regional_Product,75903,yuan
Hebei,E03_09_Per_Capita_Gross_Regional_Product,64352,yuan
Heilongjiang,E03_09_Per_Capita_Gross_Regional_Product,54102,yuan
Henan,E03_09_Per_Capita_Gross_Regional_Product,64888,yuan
Hubei,E03_09_Per_Capita_Gross_Regional_Product,102832,yuan
Hunan,E03_09_Per_Capita_Gross_Regional_Product,81225,yuan
Inner Mongolia,E03_09_Per_Capita_Gross_Regional_Product,110011,yuan
Jiangsu,E03_09_Per_Capita_Gross_Regional_Product,160694,yuan
Jiangxi,E03_09_Per_Capita_Gross_Regional_Product,75862,yuan
Jilin,E03_09_Per_Capita_Gross_Regional_Product,61689,yuan
Liaoning,E03_09_Per_Capita_Gross_Regional_Product,78236,yuan
Ningxia,E03_09_Per_Capita_Gross_Regional_Product,75484,yuan
Qinghai,E03_09_Per_Capita_Gross_Regional_Product,66568,yuan
Shaanxi,E03_09_Per_Capita_Gross_Regional_Product,89915,yuan
Shandong,E03_09_Per_Capita_Gross_Regional_Product,97575,yuan
Shanghai,E03_09_Per_Capita_Gross_Regional_Product,217140,yuan
Shanxi,E03_09_Per_Capita_Gross_Regional_Product,73769,yuan
Sichuan,E03_09_Per_Capita_Gross_Regional_Product,77333,yuan
Tianjin,E03_09_Per_Capita_Gross_Regional_Product,132143,yuan
Tibet,E03_09_Per_Capita_Gross_Regional_Product,75237,yuan
Xinjiang,E03_09_Per_Capita_Gross_Regional_Product,78660,yuan
Yunnan,E03_09_Per_Capita_Gross_Regional_Product,67612,yuan
Zhejiang,E03_09_Per_Capita_Gross_Regional_Product,135565,yuan
Anhui,E07_06_Expenditure_for_Health_Care,768.43,100_million_yuan
Beijing,E07_06_Expenditure_for_Health_Care,647.55,100_million_yuan
Chongqing,E07_06_Expenditure_for_Health_Care,435.67,100_million_yuan
Fujian,E07_06_Expenditure_for_Health_Care,566.86,100_million_yuan
Gansu,E07_06_Expenditure_for_Health_Care,419.1,100_million_yuan
Guangdong,E07_06_Expenditure_for_Health_Care,1626.91,100_million_yuan
Guangxi,E07_06_Expenditure_for_Health_Care,626.15,100_million_yuan
Guizhou,E07_06_Expenditure_for_Health_Care,597,100_million_yuan
Hainan,E07_06_Expenditure_for_Health_Care,212.31,100_million_yuan
Hebei,E07_06_Expenditure_for_Health_Care,821.28,100_million_yuan
Heilongjiang,E07_06_Expenditure_for_Health_Care,425.24,100_million_yuan
Henan,E07_06_Expenditure_for_Health_Care,1109.37,100_million_yuan
Hubei,E07_06_Expenditure_for_Health_Care,753.78,100_million_yuan
Hunan,E07_06_Expenditure_for_Health_Care,829.22,100_million_yuan
Inner Mongolia,E07_06_Expenditure_for_Health_Care,426.79,100_million_yuan
Jiangsu,E07_06_Expenditure_for_Health_Care,1228.79,100_million_yuan
Jiangxi,E07_06_Expenditure_for_Health_Care,681.71,100_million_yuan
Jilin,E07_06_Expenditure_for_Health_Care,319.11,100_million_yuan
Liaoning,E07_06_Expenditure_for_Health_Care,449.28,100_million_yuan
Ningxia,E07_06_Expenditure_for_Health_Care,126.88,100_million_yuan
Qinghai,E07_06_Expenditure_for_Health_Care,180.47,100_million_yuan
Shaanxi,E07_06_Expenditure_for_Health_Care,633.82,100_million_yuan
Shandong,E07_06_Expenditure_for_Health_Care,1177.4,100_million_yuan
Shanghai,E07_06_Expenditure_for_Health_Care,732.22,100_million_yuan
Shanxi,E07_06_Expenditure_for_Health_Care,476.61,100_million_yuan
Sichuan,E07_06_Expenditure_for_Health_Care,1172.45,100_million_yuan
Tianjin,E07_06_Expenditure_for_Health_Care,196.24,100_million_yuan
Tibet,E07_06_Expenditure_for_Health_Care,172.89,100_million_yuan
Xinjiang,E07_06_Expenditure_for_Health_Care,518.79,100_million_yuan
Yunnan,E07_06_Expenditure_for_Health_Care,731.97,100_million_yuan
Zhejiang,E07_06_Expenditure_for_Health_Care,988.46,100_million_yuan
Anhui,E08_14_Common_Industrial_Solid_Wastes_Generated,16630,10000_tons
Beijing,E08_14_Common_Industrial_Solid_Wastes_Generated,197,10000_tons
Chongqing,E08_14_Common_Industrial_Solid_Wastes_Generated,3023,10000_tons
Fujian,E08_14_Common_Industrial_Solid_Wastes_Generated,7290,10000_tons
Gansu,E08_14_Common_Industrial_Solid_Wastes_Generated,7456,10000_tons
Guangdong,E08_14_Common_Industrial_Solid_Wastes_Generated,8464,10000_tons
Guangxi,E08_14_Common_Industrial_Solid_Wastes_Generated,12438,10000_tons
Guizhou,E08_14_Common_Industrial_Solid_Wastes_Generated,13266,10000_tons
Hainan,E08_14_Common_Industrial_Solid_Wastes_Generated,593,10000_tons
Hebei,E08_14_Common_Industrial_Solid_Wastes_Generated,50982,10000_tons
Heilongjiang,E08_14_Common_Industrial_Solid_Wastes_Generated,10419,10000_tons
Henan,E08_14_Common_Industrial_Solid_Wastes_Generated,18300,10000_tons
Hubei,E08_14_Common_Industrial_Solid_Wastes_Generated,10694,10000_tons
Hunan,E08_14_Common_Industrial_Solid_Wastes_Generated,4775,10000_tons
Inner Mongolia,E08_14_Common_Industrial_Solid_Wastes_Generated,42490,10000_tons
Jiangsu,E08_14_Common_Industrial_Solid_Wastes_Generated,14110,10000_tons
Jiangxi,E08_14_Common_Industrial_Solid_Wastes_Generated,13124,10000_tons
Jilin,E08_14_Common_Industrial_Solid_Wastes_Generated,6053,10000_tons
Liaoning,E08_14_Common_Industrial_Solid_Wastes_Generated,23322,10000_tons
Ningxia,E08_14_Common_Industrial_Solid_Wastes_Generated,8571,10000_tons
Qinghai,E08_14_Common_Industrial_Solid_Wastes_Generated,15913,10000_tons
Shaanxi,E08_14_Common_Industrial_Solid_Wastes_Generated,15004,10000_tons
Shandong,E08_14_Common_Industrial_Solid_Wastes_Generated,27063,10000_tons
Shanghai,E08_14_Common_Industrial_Solid_Wastes_Generated,2174,10000_tons
Shanxi,E08_14_Common_Industrial_Solid_Wastes_Generated,47402,10000_tons
Sichuan,E08_14_Common_Industrial_Solid_Wastes_Generated,15766,10000_tons
Tianjin,E08_14_Common_Industrial_Solid_Wastes_Generated,2134,10000_tons
Tibet,E08_14_Common_Industrial_Solid_Wastes_Generated,6962,10000_tons
Xinjiang,E08_14_Common_Industrial_Solid_Wastes_Generated,11805,10000_tons
Yunnan,E08_14_Common_Industrial_Solid_Wastes_Generated,17849,10000_tons
Zhejiang,E08_14_Common_Industrial_Solid_Wastes_Generated,5940,10000_tons
Anhui,E08_14_Hazardous_Wastes_Generated,384.82,10000_tons
Beijing,E08_14_Hazardous_Wastes_Generated,30.51,10000_tons
Chongqing,E08_14_Hazardous_Wastes_Generated,139.32,10000_tons
Fujian,E08_14_Hazardous_Wastes_Generated,211.36,10000_tons
Gansu,E08_14_Hazardous_Wastes_Generated,259.99,10000_tons
Guangdong,E08_14_Hazardous_Wastes_Generated,644.69,10000_tons
Guangxi,E08_14_Hazardous_Wastes_Generated,527.18,10000_tons
Guizhou,E08_14_Hazardous_Wastes_Generated,96.28,10000_tons
Hainan,E08_14_Hazardous_Wastes_Generated,23.88,10000_tons
Hebei,E08_14_Hazardous_Wastes_Generated,741.11,10000_tons
Heilongjiang,E08_14_Hazardous_Wastes_Generated,123.9,10000_tons
Henan,E08_14_Hazardous_Wastes_Generated,469.28,10000_tons
Hubei,E08_14_Hazardous_Wastes_Generated,284.67,10000_tons
Hunan,E08_14_Hazardous_Wastes_Generated,384.43,10000_tons
Inner Mongolia,E08_14_Hazardous_Wastes_Generated,697.68,10000_tons
Jiangsu,E08_14_Hazardous_Wastes_Generated,778.42,10000_tons
Jiangxi,E08_14_Hazardous_Wastes_Generated,292.23,10000_tons
Jilin,E08_14_Hazardous_Wastes_Generated,313.37,10000_tons
Liaoning,E08_14_Hazardous_Wastes_Generated,311.87,10000_tons
Ningxia,E08_14_Hazardous_Wastes_Generated,167.34,10000_tons
Qinghai,E08_14_Hazardous_Wastes_Generated,408.68,10000_tons
Shaanxi,E08_14_Hazardous_Wastes_Generated,231.54,10000_tons
Shandong,E08_14_Hazardous_Wastes_Generated,1281.28,10000_tons
Shanghai,E08_14_Hazardous_Wastes_Generated,150.67,10000_tons
Shanxi,E08_14_Hazardous_Wastes_Generated,527.77,10000_tons
Sichuan,E08_14_Hazardous_Wastes_Generated,689.99,10000_tons
Tianjin,E08_14_Hazardous_Wastes_Generated,107.41,10000_tons
Tibet,E08_14_Hazardous_Wastes_Generated,0.76,10000_tons
Xinjiang,E08_14_Hazardous_Wastes_Generated,764.83,10000_tons
Yunnan,E08_14_Hazardous_Wastes_Generated,281.09,10000_tons
Zhejiang,E08_14_Hazardous_Wastes_Generated,633.71,10000_tons
Anhui,E08_33_Investment_in_Urban_Environmental_Infrastructure,2968658,10000_yuan
Beijing,E08_33_Investment_in_Urban_Environmental_Infrastructure,1860629,10000_yuan
Chongqing,E08_33_Investment_in_Urban_Environmental_Infrastructure,1580317,10000_yuan
Fujian,E08_33_Investment_in_Urban_Environmental_Infrastructure,1410718,10000_yuan
Gansu,E08_33_Investment_in_Urban_Environmental_Infrastructure,1718766,10000_yuan
Guangdong,E08_33_Investment_in_Urban_Environmental_Infrastructure,2577356,10000_yuan
Guangxi,E08_33_Investment_in_Urban_Environmental_Infrastructure,1044628,10000_yuan
Guizhou,E08_33_Investment_in_Urban_Environmental_Infrastructure,604915,10000_yuan
Hainan,E08_33_Investment_in_Urban_Environmental_Infrastructure,291842,10000_yuan
Hebei,E08_33_Investment_in_Urban_Environmental_Infrastructure,3233889,10000_yuan
Heilongjiang,E08_33_Investment_in_Urban_Environmental_Infrastructure,857770,10000_yuan
Henan,E08_33_Investment_in_Urban_Environmental_Infrastructure,2136370,10000_yuan
Hubei,E08_33_Investment_in_Urban_Environmental_Infrastructure,3421650,10000_yuan
Hunan,E08_33_Investment_in_Urban_Environmental_Infrastructure,684706,10000_yuan
Inner Mongolia,E08_33_Investment_in_Urban_Environmental_Infrastructure,1508472,10000_yuan
Jiangsu,E08_33_Investment_in_Urban_Environmental_Infrastructure,3195784,10000_yuan
Jiangxi,E08_33_Investment_in_Urban_Environmental_Infrastructure,2040867,10000_yuan
Jilin,E08_33_Investment_in_Urban_Environmental_Infrastructure,456757,10000_yuan
Liaoning,E08_33_Investment_in_Urban_Environmental_Infrastructure,792526,10000_yuan
Ningxia,E08_33_Investment_in_Urban_Environmental_Infrastructure,470978,10000_yuan
Qinghai,E08_33_Investment_in_Urban_Environmental_Infrastructure,161140,10000_yuan
Shaanxi,E08_33_Investment_in_Urban_Environmental_Infrastructure,1951759,10000_yuan
Shandong,E08_33_Investment_in_Urban_Environmental_Infrastructure,4140387,10000_yuan
Shanghai,E08_33_Investment_in_Urban_Environmental_Infrastructure,1202295,10000_yuan
Shanxi,E08_33_Investment_in_Urban_Environmental_Infrastructure,987543,10000_yuan
Sichuan,E08_33_Investment_in_Urban_Environmental_Infrastructure,6209515,10000_yuan
Tianjin,E08_33_Investment_in_Urban_Environmental_Infrastructure,257269,10000_yuan
Tibet,E08_33_Investment_in_Urban_Environmental_Infrastructure,143753,10000_yuan
Xinjiang,E08_33_Investment_in_Urban_Environmental_Infrastructure,995623,10000_yuan
Yunnan,E08_33_Investment_in_Urban_Environmental_Infrastructure,1252307,10000_yuan
Zhejiang,E08_33_Investment_in_Urban_Environmental_Infrastructure,1940981,10000_yuan
Anhui,E12_03_Gross_Output_Value_Animal_Husbandry,1746.4,100_million_yuan
Beijing,E12_03_Gross_Output_Value_Animal_Husbandry,41.6,100_million_yuan
Chongqing,E12_03_Gross_Output_Value_Animal_Husbandry,761.3,100_million_yuan
Fujian,E12_03_Gross_Output_Value_Animal_Husbandry,1099.8,100_million_yuan
Gansu,E12_03_Gross_Output_Value_Animal_Husbandry,711.7,100_million_yuan
Guangdong,E12_03_Gross_Output_Value_Animal_Husbandry,1735.8,100_million_yuan
Guangxi,E12_03_Gross_Output_Value_Animal_Husbandry,1567.2,100_million_yuan
Guizhou,E12_03_Gross_Output_Value_Animal_Husbandry,922.2,100_million_yuan
Hainan,E12_03_Gross_Output_Value_Animal_Husbandry,317.2,100_million_yuan
Hebei,E12_03_Gross_Output_Value_Animal_Husbandry,2374.8,100_million_yuan
Heilongjiang,E12_03_Gross_Output_Value_Animal_Husbandry,1513.8,100_million_yuan
Henan,E12_03_Gross_Output_Value_Animal_Husbandry,2609.9,100_million_yuan
Hubei,E12_03_Gross_Output_Value_Animal_Husbandry,1986.4,100_million_yuan
Hunan,E12_03_Gross_Output_Value_Animal_Husbandry,2301.7,100_million_yuan
Inner Mongolia,E12_03_Gross_Output_Value_Animal_Husbandry,1938.6,100_million_yuan
Jiangsu,E12_03_Gross_Output_Value_Animal_Husbandry,1239.1,100_million_yuan
Jiangxi,E12_03_Gross_Output_Value_Animal_Husbandry,1034.6,100_million_yuan
Jilin,E12_03_Gross_Output_Value_Animal_Husbandry,1344.1,100_million_yuan
Liaoning,E12_03_Gross_Output_Value_Animal_Husbandry,1664.1,100_million_yuan
Ningxia,E12_03_Gross_Output_Value_Animal_Husbandry,370,100_million_yuan
Qinghai,E12_03_Gross_Output_Value_Animal_Husbandry,260.4,100_million_yuan
Shaanxi,E12_03_Gross_Output_Value_Animal_Husbandry,805.3,100_million_yuan
Shandong,E12_03_Gross_Output_Value_Animal_Husbandry,2948.5,100_million_yuan
Shanghai,E12_03_Gross_Output_Value_Animal_Husbandry,50.1,100_million_yuan
Shanxi,E12_03_Gross_Output_Value_Animal_Husbandry,664.6,100_million_yuan
Sichuan,E12_03_Gross_Output_Value_Animal_Husbandry,2977.4,100_million_yuan
Tianjin,E12_03_Gross_Output_Value_Animal_Husbandry,143.4,100_million_yuan
Tibet,E12_03_Gross_Output_Value_Animal_Husbandry,195.1,100_million_yuan
Xinjiang,E12_03_Gross_Output_Value_Animal_Husbandry,1122,100_million_yuan
Yunnan,E12_03_Gross_Output_Value_Animal_Husbandry,1869.2,100_million_yuan
Zhejiang,E12_03_Gross_Output_Value_Animal_Husbandry,410.1,100_million_yuan
Anhui,E12_13_Cattle_and_Buffaloes,110.6,10000_heads
Beijing,E12_13_Cattle_and_Buffaloes,8.8,10000_heads
Chongqing,E12_13_Cattle_and_Buffaloes,90.9,10000_heads
Fujian,E12_13_Cattle_and_Buffaloes,31,10000_heads
Gansu,E12_13_Cattle_and_Buffaloes,540.5,10000_heads
Guangdong,E12_13_Cattle_and_Buffaloes,88.6,10000_heads
Guangxi,E12_13_Cattle_and_Buffaloes,324.7,10000_heads
Guizhou,E12_13_Cattle_and_Buffaloes,469.2,10000_heads
Hainan,E12_13_Cattle_and_Buffaloes,44.3,10000_heads
Hebei,E12_13_Cattle_and_Buffaloes,422.6,10000_heads
Heilongjiang,E12_13_Cattle_and_Buffaloes,490.1,10000_heads
Henan,E12_13_Cattle_and_Buffaloes,355.2,10000_heads
Hubei,E12_13_Cattle_and_Buffaloes,212.2,10000_heads
Hunan,E12_13_Cattle_and_Buffaloes,318.6,10000_heads
Inner Mongolia,E12_13_Cattle_and_Buffaloes,938.3,10000_heads
Jiangsu,E12_13_Cattle_and_Buffaloes,36.6,10000_heads
Jiangxi,E12_13_Cattle_and_Buffaloes,167.1,10000_heads
Jilin,E12_13_Cattle_and_Buffaloes,431.1,10000_heads
Liaoning,E12_13_Cattle_and_Buffaloes,303.1,10000_heads
Ningxia,E12_13_Cattle_and_Buffaloes,247.6,10000_heads
Qinghai,E12_13_Cattle_and_Buffaloes,654.2,10000_heads
Shaanxi,E12_13_Cattle_and_Buffaloes,122.3,10000_heads
Shandong,E12_13_Cattle_and_Buffaloes,245.7,10000_heads
Shanghai,E12_13_Cattle_and_Buffaloes,5,10000_heads
Shanxi,E12_13_Cattle_and_Buffaloes,169.1,10000_heads
Sichuan,E12_13_Cattle_and_Buffaloes,807.9,10000_heads
Tianjin,E12_13_Cattle_and_Buffaloes,28,10000_heads
Tibet,E12_13_Cattle_and_Buffaloes,745.9,10000_heads
Xinjiang,E12_13_Cattle_and_Buffaloes,838.3,10000_heads
Yunnan,E12_13_Cattle_and_Buffaloes,784.3,10000_heads
Zhejiang,E12_13_Cattle_and_Buffaloes,14.8,10000_heads
Anhui,E12_13_Hogs_year_end,1545.5,10000_heads
Beijing,E12_13_Hogs_year_end,28.7,10000_heads
Chongqing,E12_13_Hogs_year_end,1030.3,10000_heads
Fujian,E12_13_Hogs_year_end,960,10000_heads
Gansu,E12_13_Hogs_year_end,704.1,10000_heads
Guangdong,E12_13_Hogs_year_end,2247.5,10000_heads
Guangxi,E12_13_Hogs_year_end,2434.1,10000_heads
Guizhou,E12_13_Hogs_year_end,1570.1,10000_heads
Hainan,E12_13_Hogs_year_end,315.8,10000_heads
Hebei,E12_13_Hogs_year_end,1784.8,10000_heads
Heilongjiang,E12_13_Hogs_year_end,1296.1,10000_heads
Henan,E12_13_Hogs_year_end,4030.9,10000_heads
Hubei,E12_13_Hogs_year_end,2520.7,10000_heads
Hunan,E12_13_Hogs_year_end,3652.6,10000_heads
Inner Mongolia,E12_13_Hogs_year_end,663.1,10000_heads
Jiangsu,E12_13_Hogs_year_end,1421.6,10000_heads
Jiangxi,E12_13_Hogs_year_end,1660.9,10000_heads
Jilin,E12_13_Hogs_year_end,1115.1,10000_heads
Liaoning,E12_13_Hogs_year_end,1342.1,10000_heads
Ningxia,E12_13_Hogs_year_end,72.8,10000_heads
Qinghai,E12_13_Hogs_year_end,37.7,10000_heads
Shaanxi,E12_13_Hogs_year_end,841.6,10000_heads
Shandong,E12_13_Hogs_year_end,2673.4,10000_heads
Shanghai,E12_13_Hogs_year_end,82.4,10000_heads
Shanxi,E12_13_Hogs_year_end,871.5,10000_heads
Sichuan,E12_13_Hogs_year_end,3643,10000_heads
Tianjin,E12_13_Hogs_year_end,117.9,10000_heads
Tibet,E12_13_Hogs_year_end,39.6,10000_heads
Xinjiang,E12_13_Hogs_year_end,526.3,10000_heads
Yunnan,E12_13_Hogs_year_end,2888.4,10000_heads
Zhejiang,E12_13_Hogs_year_end,624.3,10000_heads
Anhui,E12_13_Sheep_and_Goats_year_end,549.6,10000_heads
Beijing,E12_13_Sheep_and_Goats_year_end,24,10000_heads
Chongqing,E12_13_Sheep_and_Goats_year_end,260,10000_heads
Fujian,E12_13_Sheep_and_Goats_year_end,96.8,10000_heads
Gansu,E12_13_Sheep_and_Goats_year_end,2760.9,10000_heads
Guangdong,E12_13_Sheep_and_Goats_year_end,71.6,10000_heads
Guangxi,E12_13_Sheep_and_Goats_year_end,263.6,10000_heads
Guizhou,E12_13_Sheep_and_Goats_year_end,284.4,10000_heads
Hainan,E12_13_Sheep_and_Goats_year_end,48.5,10000_heads
Hebei,E12_13_Sheep_and_Goats_year_end,1407.5,10000_heads
Heilongjiang,E12_13_Sheep_and_Goats_year_end,761.5,10000_heads
Henan,E12_13_Sheep_and_Goats_year_end,1763.6,10000_heads
Hubei,E12_13_Sheep_and_Goats_year_end,477.4,10000_heads
Hunan,E12_13_Sheep_and_Goats_year_end,652.5,10000_heads
Inner Mongolia,E12_13_Sheep_and_Goats_year_end,6108.2,10000_heads
Jiangsu,E12_13_Sheep_and_Goats_year_end,281.7,10000_heads
Jiangxi,E12_13_Sheep_and_Goats_year_end,121.8,10000_heads
Jilin,E12_13_Sheep_and_Goats_year_end,653.9,10000_heads
Liaoning,E12_13_Sheep_and_Goats_year_end,762,10000_heads
Ningxia,E12_13_Sheep_and_Goats_year_end,692.1,10000_heads
Qinghai,E12_13_Sheep_and_Goats_year_end,1305.9,10000_heads
Shaanxi,E12_13_Sheep_and_Goats_year_end,861.5,10000_heads
Shandong,E12_13_Sheep_and_Goats_year_end,1069.5,10000_heads
Shanghai,E12_13_Sheep_and_Goats_year_end,12.5,10000_heads
Shanxi,E12_13_Sheep_and_Goats_year_end,1105.5,10000_heads
Sichuan,E12_13_Sheep_and_Goats_year_end,1167.8,10000_heads
Tianjin,E12_13_Sheep_and_Goats_year_end,46.8,10000_heads
Tibet,E12_13_Sheep_and_Goats_year_end,951.7,10000_heads
Xinjiang,E12_13_Sheep_and_Goats_year_end,4004.9,10000_heads
Yunnan,E12_13_Sheep_and_Goats_year_end,1343.2,10000_heads
Zhejiang,E12_13_Sheep_and_Goats_year_end,138.6,10000_heads
Anhui,E12_13_Slaughtered_Hogs,2952.4,10000_heads
Beijing,E12_13_Slaughtered_Hogs,20,10000_heads
Chongqing,E12_13_Slaughtered_Hogs,1822,10000_heads
Fujian,E12_13_Slaughtered_Hogs,1652.6,10000_heads
Gansu,E12_13_Slaughtered_Hogs,965.3,10000_heads
Guangdong,E12_13_Slaughtered_Hogs,3817.7,10000_heads
Guangxi,E12_13_Slaughtered_Hogs,3651.3,10000_heads
Guizhou,E12_13_Slaughtered_Hogs,1985.1,10000_heads
Hainan,E12_13_Slaughtered_Hogs,475.7,10000_heads
Hebei,E12_13_Slaughtered_Hogs,3433.1,10000_heads
Heilongjiang,E12_13_Slaughtered_Hogs,2346.7,10000_heads
Henan,E12_13_Slaughtered_Hogs,6029.1,10000_heads
Hubei,E12_13_Slaughtered_Hogs,4431.4,10000_heads
Hunan,E12_13_Slaughtered_Hogs,6016,10000_heads
Inner Mongolia,E12_13_Slaughtered_Hogs,958.9,10000_heads
Jiangsu,E12_13_Slaughtered_Hogs,2334.9,10000_heads
Jiangxi,E12_13_Slaughtered_Hogs,3035.6,10000_heads
